id,description,amount,currency,date,created_at,updated_at,split_method,payer_id,trip_id,participants,shares,items,category
1,dinner,1000.0,INR,2025-04-09 00:00:00.000000,2025-04-09 06:01:59.273310,2025-04-09 06:01:59.273310,equal,1,1,"[""1""]","{""1"": 333.33}","{""unregistered_participants"": [""test2"", ""test3""]}",NULL
3,Travel Vehicle,17980.0,INR,2025-04-09 00:00:00.000000,2025-04-09 09:27:03.063894,2025-09-06 15:16:07.398626,equal,3,3,"[""3"", ""2""]","{""3"": 2568.57, ""2"": 2568.57, ""unregistered_Ajith"": 2568.57, ""12"": 2568.57, ""7"": 2568.57, ""8"": 2568.57}","{""unregistered_participants"": [""Chandu"", ""manju"", ""Chethu"", ""Ajith"", ""Netra""]}",NULL
4,Room,3800.0,INR,2025-04-09 00:00:00.000000,2025-04-09 09:55:38.497090,2025-09-06 15:16:07.398627,equal,group_everyone,3,"[""2""]","{""2"": 633.33, ""unregistered_Ajith"": 633.33, ""12"": 633.33, ""7"": 633.33, ""8"": 633.33}","{""unregistered_participants"": [""Chandu"", ""manju"", ""Chethu"", ""Ajith"", ""Netra""]}",Accommodation
5,Lunch,2090.0,INR,2025-04-09 00:00:00.000000,2025-04-09 09:56:36.108059,2025-09-06 15:16:07.398740,equal,2,3,"[""2""]","{""2"": 298.57, ""unregistered_Ashwini"": 298.57, ""unregistered_Ajith"": 298.57, ""12"": 298.57, ""7"": 298.57, ""8"": 298.57}","{""unregistered_participants"": [""Ashwini"", ""Chandu"", ""manju"", ""Chethu"", ""Ajith"", ""Netra""]}",NULL
6,dinner,2700.0,INR,2025-04-09 00:00:00.000000,2025-04-09 09:56:49.320015,2025-09-06 15:16:07.398740,equal,2,3,"[""2""]","{""2"": 385.71, ""unregistered_Ashwini"": 385.71, ""unregistered_Ajith"": 385.71, ""12"": 385.71, ""7"": 385.71, ""8"": 385.71}","{""unregistered_participants"": [""Ashwini"", ""Chandu"", ""manju"", ""Chethu"", ""Ajith"", ""Netra""]}",NULL
7,snacks,1295.0,INR,2025-04-09 00:00:00.000000,2025-04-09 09:57:27.031389,2025-09-06 15:46:55.254815,equal,3,3,"[""2""]","{""2"": 185.0, ""unregistered_Ashwini"": 185.0, ""unregistered_Ajith"": 185.0, ""12"": 185.0, ""7"": 185.0, ""8"": 185.0}","{""unregistered_participants"": [""Ashwini"", ""Chandu"", ""manju"", ""Chethu"", ""Ajith"", ""Netra""]}",NULL
8,dam show ticket,245.0,INR,2025-04-09 00:00:00.000000,2025-04-09 09:59:58.407853,2025-09-06 07:52:48.796793,equal,group_everyone,3,"[""3"", ""2""]","{""3"": 35.0, ""2"": 35.0, ""unregistered_ashwini"": 35.0, ""unregistered_chandu"": 35.0, ""unregistered_chethu"": 35.0, ""unregistered_ajith"": 35.0, ""12"": 35.0}","{""unregistered_participants"": [""ashwini"", ""chandu"", ""manju"", ""chethu"", ""ajith""]}",Other
9,other expense,806.0,INR,2025-04-09 00:00:00.000000,2025-04-09 10:01:04.711786,2025-09-06 15:46:55.254816,equal,3,3,"[""2""]","{""2"": 115.14, ""unregistered_Ashwini"": 115.14, ""unregistered_Ajith"": 115.14, ""12"": 115.14, ""7"": 115.14, ""8"": 115.14}","{""unregistered_participants"": [""Ashwini"", ""Chandu"", ""manju"", ""Chethu"", ""Ajith"", ""Netra""]}",NULL
10,cash_gave,6500.0,INR,2025-04-09 00:00:00.000000,2025-04-09 10:01:42.176339,2025-09-06 15:46:55.254817,equal,3,3,"[""2""]","{""2"": 928.57, ""unregistered_Ashwini"": 928.57, ""unregistered_Ajith"": 928.57, ""12"": 928.57, ""7"": 928.57, ""8"": 928.57}","{""unregistered_participants"": [""Ashwini"", ""Chandu"", ""manju"", ""Chethu"", ""Ajith"", ""Netra""]}",NULL
11,dinner,340.0,INR,2025-04-11 00:00:00.000000,2025-04-11 12:51:05.431739,2025-09-06 07:25:24.363005,equal,2,4,"[""4"", ""2""]","{""4"": 85.0, ""2"": 85.0, ""unregistered_shivram"": 85.0, ""unregistered_priyanka"": 85.0}","{""unregistered_participants"": [""shivram"", ""priyanka""]}",Food
